Timestamp,Open,High,Low,Close,Volume,Return,Log_Return,Price_LogReturn_Z_Score,Log_Return_MAvg_7,Log_Return_Std_7,Price_LogReturn_Z_Score_7,Log_Return_MAvg_14,Log_Return_Std_14,Price_LogReturn_Z_Score_14,Log_Return_MAvg_30,Log_Return_Std_30,Price_LogReturn_Z_Score_30,Volatility_7,Volatility_14,Volatility_30,MAvg_7,MAvg_14,MAvg_30,Volume_Mean_7,Volume_Std_7,Volume_Z_Score_7,Volume_Mean_14,Volume_Std_14,Volume_Z_Score_14,Volume_Mean_30,Volume_Std_30,Volume_Z_Score_30,Price_MAvg_Deviation_7,Price_MAvg_Deviation_14,Price_MAvg_Deviation_30,Std_Residual_7,Std_Residual_14,Std_Residual_30,RSI,MACD,MACD_Signal,MACD_Hist,BB_MA,BB_Std,BB_Upper,BB_Lower,BB_Z_Score,ATR,Candle_Body,Candle_Range,Upper_Shadow,Lower_Shadow,Upper_Shadow_Ratio,Lower_Shadow_Ratio,Candle_Body_Direction,Anomaly_ZScore,EWMA_Close,EWMA_Error,Anomaly_EWMA,Anomaly_Statistical,sentiment_bullish,sentiment_bearish,sentiment_neutral,sentiment_net,headline_count
2023-07-13,30380.0,31804.2,30251.0,31454.23,70772.51836,0.03535977616853181,0.034748976139702924,1.3834542227590125,0.007261121057386583,0.01449634117646223,1.8961926149302064,0.00232398747123441,0.013904193812700461,2.3320293938114314,0.006432299479069463,0.02005913020713462,1.4116602448974482,0.01449634117646223,0.013904193812700461,0.02005913020713462,30522.562857142857,30546.844285714287,29525.992000000002,34453.55085857143,19297.433915114627,1.8820620224009115,39491.79664214286,22805.33826494178,1.3716403306301497,44015.60701066666,22284.048282428503,1.2007203991938842,0.030523883175134978,0.02970472844260595,0.06530645947475694,64269.123602712556,65259.85803340011,96127.69746687038,61.49284122867889,710.653933939604,813.349459725463,-102.69552578585899,29525.992000000002,1819.2988874978826,33164.589774995766,25887.39422500424,1.0598797224858094,888.6017753789292,1074.2299999999996,1553.2000000000007,349.97000000000116,129.0,0.32578684236542865,0.12008601498739938,1,0,29574.294197896237,1879.9358021037624,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0
2023-07-14,31454.23,31630.0,29900.0,30312.01,60749.48424,-0.036313716787853334,-0.03698946968873567,-1.5921075613252256,-0.00015398133041289987,0.021507715936624205,-1.712663886154355,-0.0003760161112649059,0.01744098425862253,-2.0992767973728137,0.006251245464045897,0.02043484824134808,-2.116028200556335,0.021507715936624205,0.01744098425862253,0.02043484824134808,30517.89285714285,30535.41642857143,29698.772333333334,38264.82875714286,21694.831465838222,1.0364060913892146,37443.96864642857,18936.18948931009,1.2307394582594309,44538.012616,22492.522604449532,0.7207493756522001,0.006746299887302514,0.007316305284194291,0.020648586405653473,-9572.511453541536,-12809.27872295865,30009.406452348045,48.545061356778696,643.5056183349625,779.380691447363,-135.87507311240051,29698.772333333334,1622.798576815698,32944.36948696473,26453.17517970194,0.3778889601135692,1000.7882053284053,1142.2200000000012,1730.0,175.77000000000044,412.0099999999984,0.15388454049667813,0.3607098454232005,-1,0,29621.8887657739,690.1212342260987,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0
2023-07-15,30312.0,30390.9,30200.0,30289.52,14118.55329,-0.0007419501379155591,-0.0007422255191403193,-0.08864713248691578,2.306500149286251e-05,0.021495261786406532,-0.03560275414357348,-0.0006955243108172144,0.017400887146817555,-0.002683840653012111,0.00560894709095279,0.020338304665025675,-0.31227640232053194,0.021495261786406532,0.017400887146817555,0.020338304665025675,30518.59142857143,30514.246428571427,29855.140000000003,38411.10916714285,21499.403903615817,-1.1299176473007828,37202.311685,19229.576407548975,-1.2004298953739816,43386.469037999996,23148.71313398998,-1.2643431010005044,0.007505963343936478,0.007364639631441401,0.014549588446076532,-10656.83362443599,-12914.65352745113,21357.729031710765,47.25917185153399,581.7690677235223,739.8583667025949,-158.08929897907262,29855.140000000003,1428.453752691807,32712.047505383616,26998.23249461639,0.30409104892716543,892.8031112846181,22.479999999999563,190.90000000000146,78.90000000000146,89.52000000000044,3.5097863207391753,3.9822062285496416,-1,0,29664.9617486272,624.5582513728004,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0
2023-07-16,30289.52,30441.46,30064.29,30231.99,15760.1281,-0.0018993368003190625,-0.0019011428276580337,-0.13671661621097,0.000337221613581414,0.02144095673360367,-0.10439666797756914,-0.0009039824875397283,0.017396270232677292,-0.057320352396298804,0.004587404387018223,0.019901103838095482,-0.326039563808296,0.02144095673360367,0.017396270232677292,0.019901103838095482,30528.774285714284,30486.743571428575,29984.706333333335,38464.19861571428,21433.43564203562,-1.0592828371008645,36664.72010714286,19746.790919790707,-1.0586323667503752,42191.90942066666,23630.064687390834,-1.118565762317648,0.009721460905594245,0.008356208029621176,0.00824699311434531,-13841.932960442131,-14644.148890607716,12425.625667723318,46.456574074755785,522.1808406892233,696.3228614999207,-174.14202081069743,29984.706333333335,1266.1540142289787,32517.01436179129,27452.39830487538,0.19530299149053287,824.0520297800022,57.529999999998836,377.16999999999825,151.9399999999987,167.70000000000073,2.6410567940021723,2.9150008184426093,-1,0,29701.544216457703,530.4457835422982,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0
2023-07-17,30232.0,30336.96,29659.2,30138.0,30882.76839,-0.0031089584245033164,-0.0031138012758330853,-0.1870151708265226,-0.00129089915923888,0.021168001703105573,-0.08611592828466025,-0.002373316310744147,0.01657553795426328,-0.044673359448854776,0.004266705812189326,0.01994656809173903,-0.3700138817904763,0.021168001703105573,0.01657553795426328,0.01994656809173903,30489.692857142858,30414.015000000003,30105.40666666667,36981.32602571428,21566.200750850552,-0.2827831246759474,35744.80048428571,19690.649657534086,-0.24692085730271413,42293.261050333334,23572.846493388668,-0.48405238898635194,0.011534811412849849,0.009075256916918172,0.0010826405268067193,-16614.362662832784,-16651.948236106033,1634.0321394350144,39.793463486220865,462.04635123853586,649.4675594476437,-187.42120820910782,30105.40666666667,1083.6181238295849,32272.64291432584,27938.1704190075,0.030078246770313625,804.546425809335,94.0,677.7599999999984,104.95999999999913,478.7999999999993,1.1165957328021638,5.093616967089174,-1,0,29729.702654105597,408.2973458944034,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0
2023-07-18,30138.01,30239.78,29512.0,29859.13,30003.8601,-0.009253102395646695,-0.00929617827722886,-0.44344733251773677,-0.003604473540693987,0.021008133419985895,-0.2709286266775192,-0.0021382932155707564,0.016442378458949556,-0.43533148683620526,0.004180103278547045,0.02000138063263646,-0.6737675665142093,0.021008133419985895,0.016442378458949556,0.02000138063263646,30380.697142857145,30349.20214285714,30222.712,37199.47273857143,21473.36180801956,-0.335094835308187,35516.067675,19740.94324843408,-0.2792271628376848,42575.44604633333,23365.584921369824,-0.5380385720554138,0.017167714763246324,0.016147776819644636,0.012030091806453322,-24826.91500621164,-29805.42894573701,-18177.845153685943,40.69766011367273,387.42090963200826,597.0582294845167,-209.63731985250843,30222.712,820.4696211880175,31863.651242376036,28581.772757623963,-0.4431388933980782,794.3109023680902,278.8799999999974,727.7799999999988,101.77000000000044,347.130000000001,0.36492398033232004,1.2447289111993523,-1,0,29738.052805453626,121.07719454637481,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0
2023-07-19,29859.14,30189.09,29761.96,29909.21,25657.36137,0.0016772089474810237,0.0016758040032582482,0.011647711603286058,-0.0022311482065192566,0.020991880593666506,0.18611730341855495,-0.0014084225982352453,0.016362834334627385,0.1884897529620884,0.00360370297385537,0.019808766451519275,-0.09732554398657456,0.020991880593666506,0.016362834334627385,0.019808766451519275,30313.441428571427,30306.659285714286,30324.874,35420.66769285715,21897.015296307512,-0.44587384128573593,34976.1884,19911.31223838631,-0.4680167192614541,42234.936100666666,23540.41428528956,-0.7042176288726583,0.013335055655885572,0.013114255912120058,0.013707031396074413,-19256.560972121228,-24289.757971404502,-20983.840716044204,43.61703039733876,328.53361595587194,543.3533067787878,-214.81969082291585,30324.874,521.7273383912545,31368.32867678251,29281.41932321749,-0.7967073400479645,745.3534487190117,50.06999999999971,427.130000000001,279.880000000001,97.18000000000029,5.589774204318523,1.940882725366849,1,0,29749.09520510178,160.11479489821795,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0
2023-07-20,29909.21,30417.46,29570.96,29800.0,37540.68193,-0.003651383637347849,-0.00365806621063334,-0.20959015027731434,-0.007717868542281581,0.013339990649552264,0.30433322168666604,-0.00022837374244749856,0.015476759254298289,-0.22160275364064533,0.001712143218497087,0.0174946843311927,-0.30696235081849643,0.013339990649552264,0.015476759254298289,0.0174946843311927,30077.122857142855,30299.842857142856,30374.607666666667,30673.26248857143,15672.969272382723,0.4381696487805679,32563.406673571426,17002.74765055267,0.29273358393146465,41164.06032333333,22973.37224481326,-0.15772078886465565,0.0092137422338933,0.016496549487055288,0.018917369171396598,-20773.84193310179,-32296.35151196377,-32844.70046951072,48.85448351526995,269.94096574287687,488.6708385716056,-218.72987282872873,30374.607666666667,372.65365132531207,31119.91496931729,29629.300364016042,-1.5419348894694092,758.8396555564768,109.20999999999913,846.5,508.25,229.04000000000087,4.653877807399746,2.097243822935252,-1,0,29752.379385417797,47.620614582203416,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0
2023-07-21,29800.0,30061.7,29726.34,29901.72,23881.40865,0.003413422818792089,0.0034076103143899864,0.08347944167955579,-0.0019468571132636287,0.004113995197230505,1.3015249583320327,-0.001050419221838264,0.014905577738305496,0.2990846523695398,-0.0001025896808955973,0.01393150561096301,0.25196128066182094,0.004113995197230505,0.014905577738305496,0.01393150561096301,30018.510000000002,30268.20142857143,30371.53533333333,25406.394547142856,8378.769531924076,-0.18200594864585823,31835.61165214286,17150.699925987512,-0.4637829964064786,38329.227141,19272.425874503126,-0.7496626831038462,0.003890599500108462,0.012107803281152019,0.01546893590254877,-28388.462893350625,-24586.865065257774,-33723.22751416189,44.198521669434385,229.073208843889,436.7513126260623,-207.6781037821733,30371.53533333333,376.2631690052593,31124.061671343847,29619.008995322813,-1.2486349237301022,702.37570148228,101.72000000000116,335.3600000000006,159.97999999999956,73.65999999999985,1.5727487065203405,0.7241447038522838,1,0,29762.014263777943,139.70573622205848,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0
2023-07-22,29901.72,29999.0,29625.1,29794.0,14660.40467,-0.0036024683529910506,-0.0036089728683473903,-0.2075538603706667,-0.0023563924488646387,0.004116778596285586,-0.3042622745398326,-0.0011666637236858878,0.014919737144042348,-0.16369652635849213,-0.0001015658129002748,0.01393123782123785,-0.25176564354533915,0.004116778596285586,0.014919737144042348,0.01393123782123785,29947.721428571425,30233.15642857143,30368.504666666668,25483.801887142854,8258.749583863511,-1.3105370379906325,31947.455527142858,17023.71950383675,-1.0154684969548964,36849.42180999999,19330.469430233814,-1.1478778215957481,0.005132992469496141,0.01452565595024711,0.01891777922464718,-37340.22245211885,-29434.595551624137,-41238.5944478565,43.65368247586967,185.8507416570028,386.57119843225047,-200.72045677524767,30368.504666666668,380.65833302530547,31129.821332717278,29607.188000616057,-1.5092396956103824,658.578941284643,107.72000000000116,373.90000000000146,97.27999999999884,168.90000000000146,0.9030820562283303,1.5679539401415308,-1,0,29764.07785966324,29.922140336759185,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0
